explanations,datasets,attributed_fns,methods,reversed,Value
lime,npi,logit,baseline,original,[ 1.5724865e-04  1.8233515e-04  4.3252337e-05 -2.8130785e-04]
lime,npi,logit,baseline,original,[-1.3214536e-05  1.0311231e-04 -8.4937760e-04]
lime,npi,logit,baseline,original,[1.9403175e-05 1.8365541e-04 3.4767087e-05]
lime,npi,logit,baseline,original,[ 1.6090856e-04 -9.2294067e-05  4.6838750e-04]
lime,npi,logit,baseline,original,[1.495560e-04 1.030407e-04 8.147566e-06]
lime,npi,logit,baseline,original,[-0.00010093 -0.00026437]
lime,npi,logit,baseline,original,"[ 7.1215589e-05 -1.6775508e-04 -2.0690357e-04 -3.0303904e-06
 -1.7667541e-04]"
lime,npi,logit,baseline,original,[-1.0912862e-04 -7.8299519e-05]
lime,npi,logit,baseline,original,[ 2.6649881e-05  6.0016238e-05 -1.2685075e-04]
lime,npi,logit,baseline,original,[-0.00016707 -0.00025667]
lime,npi,logit,baseline,original,[ 0.000103   -0.00061345 -0.00184011]
lime,npi,logit,baseline,original,[-4.1271982e-05 -1.3854967e-04  2.8269796e-04 -3.6887708e-04]
lime,npi,logit,baseline,original,[ 2.6548223e-05 -1.7786166e-05  1.8082710e-04]
lime,npi,logit,baseline,original,[-0.0002535  -0.00013325]
lime,npi,logit,baseline,original,[-8.7716995e-05  3.4397119e-04  2.1923552e-05]
lime,npi,logit,baseline,original,[-0.00019948 -0.00049451]
lime,npi,logit,baseline,original,[ 2.5133533e-05  2.5174255e-04 -5.1277480e-04 -2.7315621e-04]
lime,npi,logit,baseline,original,[-1.0993608e-04  2.7890145e-04 -8.5896703e-05]
lime,npi,logit,baseline,original,[0.00010222 0.00022006 0.00020708]
lime,npi,logit,baseline,original,[ 1.5546294e-04  9.3190167e-05 -3.0848046e-04]
lime,npi,logit,baseline,original,[ 2.2078864e-04  4.1292328e-04 -1.7277896e-05]
lime,npi,logit,baseline,original,[ 3.7640926e-05  3.0909080e-04 -2.3336259e-04]
lime,npi,logit,baseline,original,[ 0.00026964  0.00013656 -0.00015066 -0.00021235  0.00023537]
lime,npi,logit,baseline,original,[ 0.00021134 -0.00023033 -0.00021883 -0.00017988]
lime,npi,logit,baseline,original,[ 4.1082214e-05 -2.3887613e-05  4.4546023e-04  2.6017100e-05]
lime,npi,logit,baseline,original,[-6.1440413e-05 -1.7290839e-05 -5.2061619e-05]
lime,npi,logit,baseline,original,[-0.00016891 -0.00025981]
lime,npi,logit,baseline,original,[0.00016587 0.00033492 0.00012661]
lime,npi,logit,baseline,original,[-7.7517085e-05 -4.3981994e-04]
lime,npi,logit,baseline,original,[0.00031468 0.00091113]
lime,npi,logit,baseline,original,[ 5.9844679e-05  4.2471828e-04 -5.4631528e-04]
lime,npi,logit,baseline,original,[-7.4026248e-05  3.0572145e-04 -3.0994689e-04]
lime,npi,logit,baseline,original,"[-2.0180829e-05 -4.9966387e-05  2.4279580e-06 -1.8057134e-04
  4.0016323e-04 -4.6619447e-05]"
lime,npi,logit,baseline,original,[-2.3085857e-05  1.5196786e-04 -4.1009183e-04]
lime,npi,logit,baseline,original,[-6.0934504e-05 -2.7288415e-04]
lime,npi,logit,baseline,original,[-6.9597991e-05  5.4098247e-04 -7.3970979e-05]
lime,npi,logit,baseline,original,[ 1.8025572e-04 -8.3223931e-05 -4.8776873e-04]
lime,npi,logit,baseline,original,[-0.0001909  -0.00040509]
lime,npi,logit,baseline,original,[-2.1529479e-05 -2.9375931e-04]
lime,npi,logit,baseline,original,[ 0.00020232 -0.00018034 -0.00067344]
lime,npi,logit,baseline,original,[ 2.9396751e-05 -3.4231471e-05 -2.0952422e-04]
lime,npi,logit,baseline,original,[5.42220660e-05 1.19689386e-04 3.39132734e-04]
lime,npi,logit,baseline,original,[5.5978406e-05 4.5644786e-04 4.9569284e-05]
lime,npi,logit,baseline,original,[-2.5098860e-05  7.6408958e-07  1.7880717e-04  3.0475543e-05]
lime,npi,logit,baseline,original,[ 1.8127396e-04 -1.0747259e-05 -4.2386586e-05]
lime,npi,logit,baseline,original,[-8.889757e-05 -5.722251e-04]
lime,npi,logit,baseline,original,[5.4190445e-05 5.4155645e-04 5.6290455e-06]
lime,npi,logit,baseline,original,[-2.6367685e-05 -1.7892021e-04]
lime,npi,logit,baseline,original,[0.00020523 0.0005218  0.00019092]
lime,npi,logit,baseline,original,[ 6.3836123e-05 -8.7813984e-05  3.1696924e-04]
lime,npi,logit,baseline,original,[-4.84348766e-06  1.04273844e-04 -2.06394325e-04]
lime,npi,logit,baseline,original,[1.4807479e-04 4.9775895e-06 5.6863518e-04]
lime,npi,logit,baseline,original,[ 5.7804933e-05 -6.3960244e-05]
lime,npi,logit,baseline,original,[ 6.5485714e-05  6.6289213e-05 -2.4926080e-04]
lime,npi,logit,baseline,original,[ 4.3774024e-05 -5.2211806e-05 -8.7672356e-04]
lime,npi,logit,baseline,original,[ 4.4267625e-05  4.9020164e-05 -4.1700061e-04]
lime,npi,logit,baseline,original,[ 0.00018895  0.00033537 -0.00015998]
lime,npi,logit,baseline,original,[-8.1847364e-05 -1.8115563e-04 -2.8183911e-04 -8.4015437e-06]
lime,npi,logit,baseline,original,[ 0.00017345 -0.00018378  0.00011149]
lime,npi,logit,baseline,original,"[ 1.3411853e-04  3.2452026e-06 -3.1692474e-04  1.4031344e-05
 -1.3707044e-05]"
lime,npi,logit,baseline,original,[-5.7164580e-06  7.0695300e-05  5.6046993e-05]
lime,npi,logit,baseline,original,[ 1.6595276e-04  1.5123807e-04 -4.2479147e-05  4.3922952e-05]
lime,npi,logit,baseline,original,[1.2078037e-04 2.1848475e-04 8.3906736e-05]
lime,npi,logit,baseline,original,[-8.0808342e-05 -2.8723164e-04]
lime,npi,logit,baseline,original,[ 1.2643879e-05 -8.4666630e-05 -3.3727623e-04 -7.5923497e-05]
lime,npi,logit,baseline,original,[ 8.553360e-05 -2.353678e-04 -6.907715e-04]
lime,npi,logit,baseline,original,[ 2.1308450e-05  5.1607611e-04 -4.2745516e-05]
lime,npi,logit,baseline,original,[-0.00012778 -0.000321  ]
lime,npi,logit,baseline,original,[-1.19250726e-04  5.55503939e-05]
lime,npi,logit,baseline,original,[-0.0001151  -0.00050048]
lime,npi,logit,baseline,original,[ 1.4293556e-04  4.2840511e-05 -1.4734369e-04 -4.2810934e-04]
lime,npi,logit,baseline,original,[ 8.7857872e-05  2.3308893e-04 -3.7598598e-04  8.5301501e-05]
lime,npi,logit,baseline,original,[ 4.5763500e-05 -5.1595362e-05  1.7778751e-04]
lime,npi,logit,baseline,original,[ 0.00012913 -0.00041316]
lime,npi,logit,baseline,original,[ 5.486982e-05 -5.420820e-04]
