explanations,datasets,attributed_fns,methods,reversed,Value
attention,any,logit,baseline,original,"[80.39654    1.4575399  1.3358064  1.9567764  2.7637312  2.4349513
  2.252135   5.1620245  4.618607   4.6671505  6.078549   7.8495364
 10.406473  12.620184 ]"
attention,any,logit,baseline,original,"[86.7192     8.2895155  7.052684   6.828001  12.395682  11.068923
 11.645999 ]"
attention,any,logit,baseline,original,"[75.11506    1.6156318  1.4436281  1.4632938  1.8575417  1.4275382
  2.4079514  1.4490175  1.2952843  1.9899547  3.4858809  4.748142
  6.8380632  6.3834367  5.470229   5.3711767 11.247143  10.39103  ]"
attention,any,logit,baseline,original,[93.02487    5.3230076  4.561762  12.754539  17.89954   10.436292 ]
attention,any,logit,baseline,original,"[74.105576   1.6769997  1.5418352  1.9807947  1.7832749  2.041078
  2.0776677  2.415355   2.648701   2.2766654  3.4126425  3.2039695
  3.752946   9.086849   8.352113  14.173538   9.469991 ]"
attention,any,logit,baseline,original,"[86.35087    5.6575046  4.395964   4.003503   5.129692  11.246021
 14.045893  13.170546 ]"
attention,any,logit,baseline,original,[94.82089   8.775093  6.763487 12.058973 10.416147 11.165404]
attention,any,logit,baseline,original,[91.2071     7.4801035  9.670456  20.911245  14.731085 ]
attention,any,logit,baseline,original,[91.22464   5.415063  4.333807  6.04271   9.188069 13.664144 14.131565]
attention,any,logit,baseline,original,[94.42157    5.2680163  6.6691103 11.094744  13.066614  13.479947 ]
attention,any,logit,baseline,original,"[77.29077    1.6653097  1.8955846  2.4560404  2.0658643  1.6435863
  1.957592   2.3813457  3.2799115  3.1384327  3.4887927 10.156059
  9.071982  13.798019   9.710706 ]"
attention,any,logit,baseline,original,[95.3519    8.679014  9.982586 15.864859 14.121634]
attention,any,logit,baseline,original,[93.40817   5.47484   7.740816 10.595067 15.940548 10.840555]
attention,any,logit,baseline,original,"[85.5966    11.572755  10.214318   8.110855   6.5056186 11.301018
 10.698822 ]"
attention,any,logit,baseline,original,[99.47563   8.109899  8.35966  15.481398 12.573409]
attention,any,logit,baseline,original,"[79.76771    1.5727366  2.846987   4.780371   4.524209   4.423335
 10.212977   9.95349   15.222486  10.695704 ]"
attention,any,logit,baseline,original,[94.222466   5.9968276  7.625825  20.069199  16.08568  ]
attention,any,logit,baseline,original,"[80.04382    3.2411492  1.8358767  1.5354471  1.7203335  2.1239042
  2.1328645  3.9234462  4.5362105  7.419855  10.471348  14.976968
 10.038776 ]"
attention,any,logit,baseline,original,[92.89555    8.0981245  7.3404503 12.298466  11.955207  11.412204 ]
attention,any,logit,baseline,original,[94.395355   8.808788   6.8079863 12.43191   10.385692  11.170263 ]
attention,any,logit,baseline,original,"[75.21851    3.3948042  1.5774671  1.3850391  2.4097266  3.046529
  2.1708152  4.535332   4.612042   5.4269295  7.1217623 10.01497
 13.558719   9.527359 ]"
attention,any,logit,baseline,original,[93.56717    4.9265246  5.805025  11.504602  14.1629    14.033778 ]
attention,any,logit,baseline,original,"[67.86395    1.3024324  1.1033689  0.7545606  2.2262745  1.6542711
  1.4898323  1.5059245  1.9584655  3.4623446  1.4797351  2.5690527
  2.7143714  1.6391512  1.2844713  1.3465197  1.868412   2.6170127
  3.2160878  4.471692   4.2371244  7.1548963 16.152222   9.927824 ]"
attention,any,logit,baseline,original,"[73.41248    3.9583213  4.12507    4.82819    4.5429654  5.9572334
  7.8879814  9.741336   7.983817  11.248323  10.314275 ]"
attention,any,logit,baseline,original,[95.681      4.6631455  9.412253   9.153007  14.792747  10.297853 ]
attention,any,logit,baseline,original,[93.42824    8.231826   7.1282287 12.324021  11.611543  11.276138 ]
attention,any,logit,baseline,original,[96.36365    4.9489436  5.951368   9.379685  14.869625  12.486739 ]
attention,any,logit,baseline,original,"[86.39138    3.5365412  4.3022337  2.993176   6.9802065  7.2394724
 19.032633  13.524354 ]"
attention,any,logit,baseline,original,"[78.183365   1.3451128  1.7973809  1.6315781  1.5569053  1.6125813
  3.0462317  1.9752911  1.8339458  2.7274132  1.5524948  1.7657286
  2.132571   3.816665   4.6943474  4.920576   5.914369  11.793228
 11.700209 ]"
attention,any,logit,baseline,original,"[78.50795    4.8420444  3.1496453  2.3831165  1.9772127  3.341034
  3.9798365  4.4812875  8.151125   9.847064  13.765187   9.574495 ]"
attention,any,logit,baseline,original,[100.12341     8.212618    8.958788   14.0836115  12.621568 ]
attention,any,logit,baseline,original,[97.36905    8.370484   6.4970903  8.008661  12.173706  11.580998 ]
attention,any,logit,baseline,original,"[76.91745    1.7848545  2.7846203  1.5868     2.2298493  2.2908762
  3.2483923  2.4843485  2.0309868  2.9082165  4.7317886  8.4659
  9.295769  13.964723   9.275428 ]"
attention,any,logit,baseline,original,[91.544914  9.371169  6.500454  7.572903 16.679125 12.331433]
attention,any,logit,baseline,original,"[87.26526    2.9173036  3.1685863  3.453994   3.6371975  9.793878
  9.6055    14.394484   9.763803 ]"
attention,any,logit,baseline,original,[100.1924      5.351262    7.5769353  17.842813   13.036581 ]
attention,any,logit,baseline,original,[94.01651    5.7806754  6.3832393 11.021911  14.92845   11.869204 ]
attention,any,logit,baseline,original,[104.988495  11.922399  16.24566   10.843437]
attention,any,logit,baseline,original,[94.03914  10.261467 10.385781 18.096548 11.217065]
attention,any,logit,baseline,original,[93.87726   5.947447  6.005607 11.423344 14.072841 12.673518]
attention,any,logit,baseline,original,[100.17548     7.9007616   9.085332   15.071241   11.767181 ]
attention,any,logit,baseline,original,[92.48394    6.2106     7.1087985  8.017833  16.310877  13.867947 ]
attention,any,logit,baseline,original,"[80.15176    4.9437857  5.659688   4.850752   4.911499   7.2745967
 23.051828  13.156097 ]"
attention,any,logit,baseline,original,[103.38915   12.91734   16.15829   11.535223]
attention,any,logit,baseline,original,"[72.409386   2.4439192  2.992762   2.919908   2.8724692  4.140599
  6.903144   6.4601073  6.0450234  6.5791454 11.149319   9.123126
  9.961096 ]"
attention,any,logit,baseline,original,"[73.38953    2.2724457  2.8731794  1.7314192  3.2745476  2.5537772
  3.018153   1.7047504  1.9311562  2.8324754  2.4903123  3.4685037
  3.5968418  6.4257307  8.798482  14.5586405  9.080056 ]"
